
Timeframe & Parameter Performance (sorted by total return):
|      | start               | end                 |   lookback |   z_enter |   z_exit |   max_holding |   total_return |       sharpe |            max_dd | pair      |
| 2993 | 2024-02-09 00:00:00 | 2025-02-08 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | VLO,XOM   |
| 2994 | 2024-02-09 00:00:00 | 2025-02-08 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | VLO,XOM   |
| 2995 | 2022-02-19 00:00:00 | 2023-02-19 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | VLO,XOM   |
| 2996 | 2022-02-19 00:00:00 | 2023-02-19 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | VLO,XOM   |
| 2997 | 2024-02-09 00:00:00 | 2025-02-08 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | VLO,XOM   |
| 2998 | 2024-02-09 00:00:00 | 2025-02-08 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | VLO,XOM   |
| 2999 | 2022-02-19 00:00:00 | 2023-02-19 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | VLO,XOM   |
| 3000 | 2022-03-21 00:00:00 | 2023-03-21 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | VLO,XOM   |
| 3001 | 2024-01-10 00:00:00 | 2025-01-09 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | VLO,XOM   |
| 3002 | 2022-03-21 00:00:00 | 2023-03-21 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | VLO,XOM   |
| 3003 | 2022-03-21 00:00:00 | 2023-03-21 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | VLO,XOM   |
| 3004 | 2022-01-20 00:00:00 | 2023-01-20 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | VLO,XOM   |
| 3005 | 2022-01-20 00:00:00 | 2023-01-20 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | VLO,XOM   |
| 3006 | 2022-01-20 00:00:00 | 2023-01-20 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | VLO,XOM   |
| 3007 | 2022-01-20 00:00:00 | 2023-01-20 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | VLO,XOM   |
| 3008 | 2022-01-20 00:00:00 | 2023-01-20 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | VLO,XOM   |
| 3009 | 2023-12-11 00:00:00 | 2024-12-10 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | VLO,XOM   |
| 3010 | 2023-12-11 00:00:00 | 2024-12-10 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | VLO,XOM   |
| 3011 | 2023-12-11 00:00:00 | 2024-12-10 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | VLO,XOM   |
| 3012 | 2023-12-11 00:00:00 | 2024-12-10 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | VLO,XOM   |
| 3013 | 2023-12-11 00:00:00 | 2024-12-10 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | VLO,XOM   |
| 3014 | 2023-12-11 00:00:00 | 2024-12-10 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | VLO,XOM   |
| 3015 | 2022-02-19 00:00:00 | 2023-02-19 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | VLO,XOM   |
| 3016 | 2022-03-21 00:00:00 | 2023-03-21 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | VLO,XOM   |
| 2989 | 2024-03-10 00:00:00 | 2025-03-10 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | VLO,XOM   |
| 2988 | 2024-03-10 00:00:00 | 2025-03-10 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | VLO,XOM   |
| 2987 | 2024-03-10 00:00:00 | 2025-03-10 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | VLO,XOM   |
| 2972 | 2020-10-27 00:00:00 | 2021-10-27 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | VLO,XOM   |
| 5949 | 2022-09-17 00:00:00 | 2023-09-17 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 5948 | 2022-09-17 00:00:00 | 2023-09-17 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 5947 | 2022-10-17 00:00:00 | 2023-10-17 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 5946 | 2024-02-09 00:00:00 | 2025-02-08 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 5945 | 2022-10-17 00:00:00 | 2023-10-17 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 5944 | 2022-10-17 00:00:00 | 2023-10-17 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | AAPL,SHEL |
